as_of_year,agency_code,loan_type,property_type,loan_purpose,owner_occupancy,loan_amount_000s,preapproval,action_taken,action_taken_summary,msamd,state_code,county_code,census_tract_number,applicant_ethnicity,co_applicant_ethnicity,applicant_race_1,co_applicant_race_1,applicant_sex,co_applicant_sex,applicant_income_000s,purchaser_type,denial_reason_1,hoepa_status,lien_status,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units
7/9/05,7,1,1,1,1,296,2,1,1,12420,48,491,203.02,2,5,5,8,1,5,131,8,0,2,1,4047,27.67,81400,109.84,962,1192
7/9/05,9,1,1,1,1,249,3,6,1,47580,13,153,212.01,2,2,5,5,1,2,213,1,0,2,4,8150,32.38,56300,132.21,2217,2844
7/9/05,9,3,1,1,1,200,2,1,1,45300,12,57,134.14,3,3,6,6,3,3,91,0,0,2,1,6160,27.35,59800,157.92,1691,2052
7/9/05,7,1,1,3,1,550,3,1,1,35614,34,25,8100.03,2,2,5,5,1,1,299,6,0,2,1,5202,6.81,73700,165.25,1570,1577
7/9/05,9,1,2,1,1,47,3,3,0,,37,177,9601,2,2,5,5,1,2,40,0,3,2,1,4152,43.81,48700,75.62,1072,2000
7/9/05,7,2,1,3,1,46,3,3,0,38060,4,13,927.2,2,2,5,5,1,2,40,0,7,2,1,4931,54.78,66200,96.97,771,1147
7/9/05,3,1,1,1,1,70,3,3,0,28700,51,169,306,2,5,5,8,1,5,72,0,3,2,1,3764,5.66,54500,81.68,1282,1949
7/9/05,5,1,1,1,1,143,1,7,0,,,,,2,5,5,8,1,5,49,0,5,2,1,,,,,,
7/9/05,7,1,1,1,1,424,2,1,1,23104,48,439,1135.1,1,5,5,8,1,5,178,1,0,2,1,4346,59.96,70900,80.29,831,1213
7/9/05,9,1,1,3,1,346,3,6,1,36084,6,1,4418,4,5,7,8,4,5,99,8,0,2,4,6991,61.48,97400,111.83,1402,1873
7/9/05,3,4,1,1,1,155,3,1,1,19060,54,57,107,2,5,5,8,1,5,60,9,0,2,1,1954,14.23,53900,79.96,376,1033
7/9/05,7,3,1,1,1,155,2,1,1,33660,1,97,67.01,3,5,2,8,3,5,64,7,0,2,1,6436,29.79,55100,83.62,1864,2658
7/9/05,3,1,2,1,1,95,3,1,1,35840,12,81,19.12,2,2,5,5,1,2,55,0,0,2,1,4829,19.28,65500,121.63,1707,2176
7/9/05,3,1,1,1,1,214,3,1,1,12060,13,57,909.02,3,5,3,8,3,5,93,3,0,2,1,14439,18.12,69200,134.87,4715,5647
7/9/05,7,4,1,1,1,128,2,1,1,12060,13,151,704.04,2,2,5,5,1,2,59,2,0,2,1,7196,44.22,69200,108.38,1659,2281
7/9/05,9,2,1,1,1,223,3,6,1,21660,41,39,25.01,4,4,7,7,4,4,,2,0,2,4,5069,23.28,59000,101.76,1161,1776
7/9/05,7,2,1,1,1,241,3,1,1,19804,26,163,5724,2,5,5,8,2,5,66,2,0,2,1,1147,25.37,53500,69.81,362,528
7/9/05,9,2,1,1,1,130,3,3,0,41980,72,119,1301.02,1,5,5,8,2,5,28,0,0,2,1,5636,96.13,25900,141.95,1403,2167
7/9/05,3,1,1,3,1,41,3,1,1,38860,23,31,301,2,2,5,5,1,2,163,0,0,2,2,4297,5.86,77800,82.84,1177,1666
7/9/05,7,1,1,3,1,92,3,5,,38940,12,111,3804,2,5,3,8,1,5,31,0,0,2,1,5827,72.18,58000,63.25,742,1955
7/9/05,7,2,1,1,1,166,3,6,1,31180,48,303,4.05,4,4,7,7,4,4,,2,0,2,4,10879,54.26,58300,80.38,1544,3095
7/9/05,3,1,1,1,1,185,3,3,0,35614,34,29,7321.01,2,5,5,8,1,5,52,0,0,2,1,6433,11.3,73700,108.61,2141,2717
7/9/05,7,1,1,3,1,272,3,6,1,14860,9,1,812,4,4,7,7,4,4,,3,0,2,4,5587,20.46,108300,110.91,1861,2102
7/9/05,7,1,1,1,1,139,2,1,1,12060,13,121,18,3,5,6,8,3,5,95,1,0,2,1,4529,59.46,69200,38.26,886,426
7/9/05,7,1,1,3,1,97,3,1,1,29340,22,19,21,2,5,5,8,2,5,65,1,0,2,1,3157,35.76,58500,68.86,764,1316
7/9/05,7,1,1,1,1,388,1,1,1,26420,48,201,4326,2,2,5,5,1,2,108,1,0,2,1,2103,52.5,72500,105.22,390,464
7/9/05,7,1,1,3,1,550,3,2,0,16740,37,119,34,3,5,6,8,3,5,102,0,0,2,1,4781,3.95,67700,232.86,1319,1888
7/9/05,2,2,1,1,1,95,2,1,1,36540,19,155,304.02,2,5,5,8,1,5,45,9,0,2,1,2743,7.07,75000,54.08,586,902
7/9/05,3,1,1,1,2,195,3,1,1,42340,13,51,108.09,2,5,5,8,1,5,851,3,0,2,1,11794,46.39,64900,123.01,2790,3772
7/9/05,9,1,1,1,2,266,3,1,1,26420,48,167,7239,2,5,5,8,1,5,158,0,0,2,1,2196,9.7,72500,92.79,711,2690
7/9/05,2,1,1,3,2,161,3,4,,23104,48,439,1139.2,2,5,3,8,1,5,128,0,0,2,1,5609,31.15,70900,147.89,1398,1695
7/9/05,7,3,1,1,1,230,3,6,1,41420,41,47,16.01,4,4,7,7,4,4,,2,0,2,4,7520,45.73,58400,104.95,1752,2409
7/9/05,3,1,1,1,1,410,2,4,,12060,13,117,1301.03,2,2,5,5,1,2,91,0,0,2,1,3575,7.66,69200,100.77,997,1494
7/9/05,7,1,1,1,1,162,2,1,1,41180,29,183,3117.21,3,5,6,8,1,5,80,7,0,2,1,3682,12.47,74300,127.65,1197,1332
7/9/05,7,2,1,3,1,386,3,1,1,40140,6,65,432.42,3,3,6,6,3,3,148,2,0,2,1,9274,48.73,63200,143.78,2247,2615
7/9/05,7,3,1,3,2,175,3,1,1,26620,1,89,18.01,2,5,5,8,1,5,,2,0,2,1,4139,7.13,78200,146.48,1376,1657
7/9/05,7,2,2,1,1,95,3,5,,,37,111,9708,3,5,5,8,1,5,24,0,0,2,1,3745,2.94,48700,96.76,1271,2066
7/9/05,2,1,1,1,1,192,2,1,1,36220,48,135,30,2,2,5,5,1,2,64,6,0,2,1,10053,57.62,72400,157.9,2019,2696
7/9/05,7,2,1,3,1,64,3,1,1,35660,26,21,209,3,5,6,8,1,5,,2,0,2,1,3867,19.32,61000,72.3,1028,1418
7/9/05,7,1,1,1,1,120,3,6,1,22744,12,11,611,4,4,7,7,4,4,,1,0,2,4,7929,79.68,64100,71.99,1278,2315
7/9/05,1,1,1,3,1,825,3,3,0,31084,6,37,8001.01,2,5,5,8,1,5,112,0,1,2,1,5648,15.97,64300,236.93,1830,2030
7/9/05,9,1,1,1,1,350,3,1,1,12420,48,491,203.12,2,2,2,2,2,1,200,1,0,2,1,8309,49.1,81400,86.47,1739,2622
7/9/05,7,1,1,3,2,155,3,3,0,33124,12,86,67.14,1,5,5,8,1,5,,0,0,2,1,1745,76.85,51800,206.07,395,60
7/9/05,7,2,1,1,1,130,3,1,1,29820,32,3,54.32,2,5,5,8,2,5,27,2,0,2,1,5861,27.42,61900,139.55,1832,2190
7/9/05,9,1,1,1,1,585,3,1,1,35614,36,81,667.01,2,5,2,8,1,5,,0,0,2,1,2280,22.98,73700,118.38,588,1089
7/9/05,9,1,1,1,1,118,3,6,1,40580,37,127,110,2,5,5,8,1,5,62,0,0,2,4,4512,50.31,49100,110.73,1080,1960
7/9/05,9,1,1,3,1,71,3,1,1,41900,72,125,8405,1,1,5,5,2,1,39,1,0,2,1,4722,98.81,18400,162.39,995,1537
7/9/05,7,1,1,3,1,170,3,1,1,12580,24,5,4517.02,2,2,5,5,1,2,169,1,0,2,1,1832,1.09,91100,109.28,652,786
7/9/05,9,1,1,1,1,60,3,6,1,35614,36,119,22.04,4,4,7,7,4,4,58,1,0,2,4,4976,31.41,73700,124.95,1377,612
7/9/05,7,1,1,3,1,275,3,1,1,42200,6,83,1.03,1,2,5,5,1,2,141,3,0,2,1,2995,13.62,73900,199.28,1029,1250
7/9/05,5,1,2,1,1,84,3,1,1,30300,16,69,9400,2,2,5,5,1,2,68,0,0,2,1,4870,46.78,54200,96.41,1267,1924
7/9/05,9,1,1,1,1,141,3,4,,38300,42,3,4689,2,5,5,8,2,5,62,0,0,2,1,3916,18.64,72200,66.2,752,1258
7/9/05,7,1,1,3,1,407,3,2,0,19380,39,57,2201,2,5,5,8,1,5,225,0,0,2,1,7899,5.96,63600,203.86,2692,2920
7/9/05,7,2,1,1,1,103,3,5,,,26,,,2,5,5,8,1,5,38,0,0,2,1,,,,,,
7/9/05,7,2,1,1,1,245,2,1,1,34980,47,149,405.01,3,3,5,5,1,2,110,2,0,2,1,7625,9.15,67500,116.25,2277,2539
7/9/05,3,4,1,1,1,24,3,1,1,,19,47,703,2,5,5,8,1,5,30,0,0,2,1,2280,6.89,63900,89.9,699,978
7/9/05,9,1,1,1,1,806,3,1,1,42340,13,51,110.06,2,5,5,8,1,5,463,0,0,2,1,3605,5.08,64900,197.38,1448,1791
7/9/05,7,2,1,1,1,248,3,6,1,34980,47,149,408.09,4,4,7,7,4,4,,2,0,2,4,4130,8.47,67500,116.16,1213,1436
7/9/05,5,1,1,1,1,228,3,1,1,22420,26,49,111.01,2,2,2,2,1,2,405,3,0,2,1,8791,14.49,53700,173.61,2443,2910
7/9/05,9,1,1,1,1,163,1,7,0,,,,,2,3,3,6,2,3,109,0,3,2,1,,,,,,
7/9/05,7,2,1,1,1,267,2,1,1,23060,18,3,108.08,2,2,3,3,1,2,95,6,0,2,1,5202,15.09,63700,142.24,1721,1912
7/9/05,7,1,1,3,1,159,3,1,1,26420,48,167,7212.01,3,5,6,8,1,5,78,1,0,2,1,19154,35.82,72500,157.78,4627,5865
7/9/05,7,2,1,3,1,89,3,5,,41700,48,29,1719.02,1,5,5,8,1,5,,0,0,2,1,12443,89.42,64300,51.08,1257,1980
7/9/05,9,1,1,1,2,296,3,6,1,38060,4,13,6102,2,2,5,5,1,2,277,1,0,2,4,7637,18.95,66200,154.2,2512,3852
7/9/05,7,1,1,1,2,179,3,4,,16940,56,21,3,2,2,5,5,2,1,300,0,0,2,1,3717,36.35,75500,91.51,1006,1347
7/9/05,7,2,1,1,1,233,2,1,1,23104,48,439,1136.23,2,5,5,8,1,5,80,7,0,2,1,3602,16.49,70900,129.56,1301,1427
7/9/05,7,3,1,1,1,144,2,1,1,36740,12,95,170.04,1,5,5,8,2,5,51,7,0,2,1,4803,29.59,58400,93.7,1343,1994
7/9/05,9,1,1,1,1,214,3,6,1,42540,42,79,2155.02,2,5,5,8,2,5,72,1,0,2,4,5654,7.07,59500,130.61,1976,2141
7/9/05,7,1,1,1,1,90,2,1,1,46140,40,143,58.07,2,5,5,8,2,5,39,1,0,2,1,13371,26.75,63500,131.65,3751,4492
7/9/05,7,1,1,3,1,290,3,1,1,31084,6,37,5530,1,1,5,5,1,2,99,1,0,2,1,4749,81.51,64300,132.96,1065,1253
7/9/05,9,1,1,1,1,664,2,1,1,14454,25,21,4061.02,3,3,6,6,3,3,253,0,0,2,1,6648,8.98,94300,178.42,1989,2145
7/9/05,9,1,1,3,1,101,3,3,0,21340,48,141,2.08,2,5,2,8,2,5,61,0,1,2,1,3727,83.74,45300,82.5,787,1295
7/9/05,3,1,1,3,1,201,3,1,1,49620,42,133,206,2,5,5,8,1,5,79,0,0,2,1,7351,4.38,70800,104.22,2389,2916
7/9/05,7,2,1,1,1,353,3,6,1,14860,9,1,2103,1,5,5,8,1,5,68,2,0,2,4,5863,46.63,108300,75.03,912,1665
7/9/05,2,1,1,1,1,68,3,1,1,36540,19,85,2904,2,2,5,5,1,2,98,1,0,2,1,3249,2.25,75000,80.12,892,1436
7/9/05,7,1,1,3,1,60,3,1,1,13820,1,115,401.03,2,5,5,8,2,5,24,1,0,2,1,8991,14.27,61400,102.99,3092,3484
7/9/05,7,2,2,1,1,79,3,1,1,,37,85,704.02,2,5,5,8,1,5,38,2,0,2,1,7127,30.42,48700,109.31,1770,2551
7/9/05,9,2,1,1,1,130,3,6,1,12580,24,5,4923,4,4,7,7,4,4,,2,0,2,4,3868,17.86,91100,90.13,899,1377
7/9/05,7,2,1,3,1,195,3,3,0,20524,36,27,501.03,2,5,5,8,1,5,84,0,4,2,1,5599,16.91,97100,113.27,1588,1929
7/9/05,7,1,2,1,1,66,3,5,,,48,241,,3,5,5,8,1,5,79,0,0,2,1,,,,,,
7/9/05,7,2,1,3,1,164,3,4,,39540,55,101,9.04,2,1,5,5,2,1,105,0,0,2,1,5039,20.78,67300,100.52,1493,1618
7/9/05,3,1,1,1,1,124,3,1,1,40060,51,87,2003.01,2,2,5,5,1,2,61,9,0,2,1,1231,14.3,78700,120.63,483,446
7/9/05,7,1,1,1,1,303,3,1,1,,8,85,9666.02,2,2,5,5,1,2,136,3,0,2,1,4458,5.79,63800,116.76,1570,1957
7/9/05,9,1,1,1,1,424,3,3,0,41740,6,73,159.02,1,5,5,8,1,5,115,0,9,2,1,5166,50.43,79300,50.46,598,857
7/9/05,3,1,1,3,1,31,3,3,0,38300,42,3,4011,2,5,5,8,2,5,18,0,3,2,1,4667,2.74,72200,80.95,1366,1886
7/9/05,7,1,1,3,1,180,3,4,,32580,48,215,241.09,1,5,5,8,1,5,70,0,0,2,1,7018,97.69,40300,73.7,951,1608
7/9/05,2,1,1,1,1,387,2,1,1,39580,37,183,534.15,2,2,5,5,1,2,132,3,0,2,1,3450,33.3,80200,161.64,926,1079
7/9/05,7,1,1,1,1,123,2,1,1,23844,18,127,502.02,2,5,5,8,2,5,58,6,0,2,1,6313,10.91,64500,126.18,1625,2327
7/9/05,7,2,1,1,1,75,3,1,1,36420,40,109,1054,2,5,1,8,2,5,30,2,0,2,1,1873,64.87,66600,52.62,378,717
7/9/05,9,1,1,3,2,629,3,3,0,41884,6,81,6092.02,2,2,5,5,2,2,51,0,1,2,1,4174,43.2,113100,99.5,642,789
7/9/05,7,1,1,3,1,148,3,1,1,28420,53,21,205.02,2,5,5,8,2,5,56,1,0,2,1,9278,34.31,65100,105.4,2445,2916
7/9/05,3,1,1,1,1,50,3,1,1,26420,48,157,6731.01,2,2,5,5,1,2,224,0,0,2,2,53812,46.07,72500,208.77,13975,15386
7/9/05,7,3,1,1,1,285,2,1,1,24660,37,81,160.03,3,3,6,6,3,3,143,2,0,2,1,4620,18.81,56000,221.24,1223,1477
7/9/05,3,1,1,1,1,192,2,1,1,17820,8,41,6,3,3,6,6,3,3,62,1,0,2,1,3582,22.67,73500,86.28,958,1290
7/9/05,9,2,1,3,1,357,3,6,1,41740,6,73,32.04,1,5,5,8,1,5,102,2,0,2,4,3633,70.36,79300,130.86,709,1033
7/9/05,7,2,1,3,1,66,3,1,1,19804,26,163,5678,2,5,5,8,2,5,19,2,0,2,1,5161,31.58,53500,135.76,1081,1349
7/9/05,7,1,1,1,1,144,3,1,1,16700,45,35,106.03,2,2,5,5,1,2,71,0,0,2,1,6949,28,68800,86.33,1724,2365
7/9/05,7,1,1,1,1,263,3,1,1,14454,25,23,5452,2,5,5,8,1,5,81,7,0,2,1,5481,16.64,94300,65.38,1749,2734
7/9/05,3,1,1,3,2,65,3,1,1,41180,17,119,4010,2,5,5,8,1,5,207,1,0,2,1,2589,5.6,74300,60.64,637,1216
7/9/05,7,1,1,1,3,188,3,6,1,26420,48,157,6729,4,4,7,7,4,4,,1,0,2,4,38137,77.77,72500,129.33,9771,11372
7/9/05,7,1,1,1,1,180,2,4,,18140,39,49,78.3,2,2,5,5,1,2,44,0,0,2,1,2527,27.74,73900,94.43,350,570
7/9/05,7,1,1,3,1,188,3,6,1,39340,49,49,103.04,4,4,7,7,4,4,,3,0,2,4,7981,10.98,69200,115.72,1599,1982
7/9/05,9,4,1,1,1,108,3,6,1,,27,63,4802,4,4,7,7,4,4,,2,0,2,4,2143,9.71,65300,104.36,741,960
7/9/05,3,1,1,3,2,18,3,1,1,10780,22,79,138,4,5,7,8,4,5,,0,0,2,1,4463,48.04,54300,85.1,633,1594
7/9/05,7,2,1,1,1,324,2,1,1,16974,17,43,8445.01,2,5,5,8,1,5,168,7,0,2,1,3969,34.82,77500,110.07,988,1236
7/9/05,7,1,1,1,1,60,3,6,1,32820,28,137,9504,4,5,7,8,4,5,,0,0,2,4,5951,49.29,59100,75.44,952,2029
7/9/05,9,2,1,1,1,34,3,6,1,32580,48,215,235.09,4,4,7,7,4,4,,0,0,2,4,11651,81.77,40300,191.71,2746,3489
7/9/05,3,1,1,1,2,125,3,1,1,30460,21,67,1.01,4,5,7,8,4,5,,0,0,2,1,3296,25.3,66600,102.22,297,692
7/9/05,2,1,1,3,1,145,3,1,1,29540,42,71,142.01,2,2,5,5,1,2,42,1,0,2,1,5902,1.47,71100,99.28,1177,1518
7/9/05,7,2,1,1,1,95,3,1,1,27260,12,31,105,1,5,5,8,1,5,43,6,0,2,1,15792,68.63,64300,80.06,4024,5182
7/9/05,9,1,1,1,1,87,3,6,1,20260,27,137,34,4,4,7,7,4,4,,3,0,2,4,1452,5.44,67200,91.18,405,581
7/9/05,9,1,1,3,1,392,3,6,1,31084,6,37,1274,2,2,5,5,1,2,103,1,0,2,4,6087,83.34,64300,52.18,341,579
7/9/05,9,3,1,3,1,183,3,3,0,14454,25,23,5105.01,1,2,3,5,1,2,151,0,5,2,1,2636,41.24,94300,67.64,711,1019
7/9/05,7,1,1,3,2,280,3,3,0,39300,44,7,37,2,2,5,5,1,1,323,0,0,2,1,3499,26.29,74500,112.76,579,1487
