as_of_year,agency_code,loan_type,property_type,loan_purpose,owner_occupancy,loan_amount_000s,preapproval,action_taken,action_taken_summary,msamd,state_code,county_code,census_tract_number,applicant_ethnicity,co_applicant_ethnicity,applicant_race_1,co_applicant_race_1,applicant_sex,co_applicant_sex,applicant_income_000s,purchaser_type,denial_reason_1,hoepa_status,lien_status,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units
7/9/05,5,1,1,3,1,315,3,1,1,46700,6,95,2527.06,2,2,5,5,1,2,92,1,0,2,1,3906,64.93,80400,111.58,929,1157
7/9/05,7,1,1,3,1,171,3,4,,38900,41,5,205.04,2,5,5,8,1,5,52,0,0,2,1,6678,15.29,74700,138.87,2135,2384
7/9/05,9,3,1,3,1,510,3,6,1,23580,13,139,5,4,4,7,7,4,4,,2,0,2,4,7083,21.54,61700,130.21,1900,2422
7/9/05,9,1,1,1,1,136,1,8,0,,,,,2,5,3,8,2,5,67,0,0,2,1,,,,,,
7/9/05,7,3,1,1,1,223,2,4,,47260,51,810,460.14,2,5,3,8,1,5,53,0,0,2,1,4588,53.64,73000,89.94,1119,1420
7/9/05,7,1,1,1,1,193,2,4,,39140,4,25,19,2,5,5,8,2,5,34,0,0,2,1,14554,13.18,54800,105.11,4946,6685
7/9/05,9,1,1,3,1,260,3,4,,35614,36,81,892,2,2,5,5,1,2,93,0,0,2,1,8047,13.38,73700,127.16,2333,2806
7/9/05,7,1,1,1,1,167,3,1,1,33874,42,29,3110,2,5,5,8,1,5,50,3,0,2,1,6870,10.48,102600,115.08,1973,2221
7/9/05,7,2,1,1,1,466,3,6,1,40060,51,41,1009.27,4,4,7,7,4,4,,2,0,2,4,8096,24.33,78700,129.65,1975,2661
7/9/05,3,2,1,1,1,434,3,4,,40900,6,67,96.36,2,2,2,2,2,1,175,0,0,2,1,7849,73.53,75200,111.12,1576,2355
7/9/05,7,1,1,3,1,135,3,1,1,41700,48,29,1909.01,1,5,6,8,2,5,30,0,0,2,1,6210,73.16,64300,68.04,793,1170
7/9/05,9,1,1,3,1,299,3,1,1,35084,34,39,376.01,2,2,5,5,1,2,101,1,0,2,1,4784,16.91,99800,136.1,1565,1767
7/9/05,7,2,1,1,1,97,2,1,1,39300,44,7,183,2,5,5,8,2,5,44,6,0,2,1,1954,31.27,74500,36.54,115,449
7/9/05,5,1,1,3,1,132,3,1,1,48864,10,3,164.04,2,2,5,5,1,2,103,0,0,2,1,3390,26.11,81400,109.86,916,1243
7/9/05,9,1,1,3,1,170,3,6,1,26420,48,201,3237.01,1,2,5,5,1,1,98,3,0,2,4,4158,48.2,72500,79.39,434,743
7/9/05,7,2,1,1,1,49,3,1,1,33340,55,79,62,3,5,6,8,1,5,36,6,0,2,1,2390,97.7,72400,39.44,245,1062
7/9/05,7,4,1,1,1,135,2,1,1,,8,43,9785,2,5,5,8,1,5,40,7,0,2,1,5409,4.51,63800,78.1,1586,2194
7/9/05,2,1,1,1,1,170,3,1,1,18140,39,41,114.13,2,2,5,5,2,1,96,6,0,2,1,7136,15.01,73900,193.88,2225,2571
7/9/05,7,2,1,3,1,97,3,3,0,33124,12,86,98.03,1,1,5,5,1,1,13,0,0,2,1,4973,82.77,51800,112.7,1046,1115
7/9/05,7,1,2,1,1,64,1,2,0,,48,,,2,5,4,8,1,5,78,0,0,2,1,,,,,,
7/9/05,9,1,1,1,1,172,3,1,1,29820,32,3,36.34,1,1,5,5,2,2,53,1,0,2,1,4430,65.46,61900,87.78,784,1401
7/9/05,7,2,1,1,1,117,2,1,1,,5,89,9601,2,5,6,8,3,5,38,0,0,2,1,4737,5.11,46500,108.88,1529,2155
7/9/05,7,1,1,1,1,380,2,1,1,35614,34,17,179,2,2,2,2,2,1,180,1,0,2,1,1973,45.36,73700,295.98,374,365
7/9/05,9,1,1,3,1,255,3,3,0,24300,8,77,17.02,2,5,5,8,2,5,5,0,1,2,1,4787,12.78,66300,103.9,1248,1807
7/9/05,9,1,1,1,1,133,3,6,1,34820,37,19,202.01,2,2,5,5,2,1,104,1,0,2,4,3654,31.55,53700,124.34,936,1293
7/9/05,7,3,1,3,1,175,3,1,1,11700,37,89,9308,2,5,5,8,1,5,73,2,0,2,1,5287,8.13,60400,112.03,1518,2222
7/9/05,9,1,1,1,1,213,2,3,0,35084,34,13,22.02,2,2,3,3,1,2,151,0,4,2,1,3428,95.62,99800,53.81,509,1052
7/9/05,7,1,1,3,1,180,3,3,0,19124,48,139,602.14,3,5,6,8,3,5,102,0,3,2,1,8208,16.73,73400,146.39,2395,2704
7/9/05,9,1,1,1,2,196,3,6,1,34980,47,165,202.08,2,2,5,5,1,2,134,3,0,2,4,2461,5.08,67500,83.9,563,980
7/9/05,3,2,1,1,1,83,3,1,1,,47,103,9751,2,5,5,8,2,5,36,7,0,2,1,2280,4.25,47900,100.41,709,1045
7/9/05,7,2,1,3,1,215,3,4,,29820,32,3,59.04,2,2,5,5,1,2,76,0,0,2,1,2285,12.69,61900,110.58,1072,1672
7/9/05,5,1,1,1,1,181,3,4,,,48,407,2001.02,1,5,5,8,1,5,99,0,0,2,1,10609,30.3,54200,114.77,2942,4028
7/9/05,3,1,1,1,1,154,3,1,1,41140,29,21,27,2,2,5,5,1,2,169,0,0,2,1,3314,15.84,61500,117.84,906,1277
7/9/05,7,1,1,3,1,160,3,4,,47664,26,87,3420,2,5,5,8,1,5,71,0,0,2,1,4534,3.29,79600,93.87,1570,1746
7/9/05,3,3,1,1,1,348,3,1,1,45104,53,53,714.11,2,2,3,3,1,2,112,7,0,2,1,5269,39.89,74500,98,1179,1691
7/9/05,7,1,1,3,1,130,3,5,,35004,36,103,1595.08,2,5,5,8,2,5,33,0,0,2,1,7630,34.13,110800,65.95,1882,2789
7/9/05,1,1,1,1,1,216,3,1,1,23104,48,439,1136.26,2,5,5,8,2,5,97,6,0,2,1,3963,23.11,70900,141.24,1288,1481
7/9/05,9,1,1,1,1,118,3,6,1,29404,17,97,8611.08,2,5,5,8,2,5,42,1,0,2,4,6272,17.83,91600,138.56,1458,1671
7/9/05,9,1,1,3,2,68,3,1,1,,39,29,9501,2,2,5,5,1,2,49,1,0,2,1,5977,2.79,57600,109.42,1942,2431
7/9/05,5,1,1,3,1,222,3,3,0,17660,16,55,5,2,2,5,5,1,2,47,0,1,2,1,11853,5.04,59200,96.36,3162,4438
7/9/05,3,1,2,1,1,76,3,3,0,17300,21,221,9703,2,5,5,8,1,5,130,0,0,2,1,4558,2.46,55800,110.45,1861,2862
7/9/05,7,2,1,1,1,275,3,3,0,30140,42,75,41,2,5,5,8,1,5,24,0,1,2,1,2204,11.39,65300,103.49,870,1323
7/9/05,9,2,1,1,1,213,3,1,1,46140,40,143,54.02,2,2,1,5,2,1,,2,0,2,1,7685,23.94,63500,123.58,2012,3040
7/9/05,9,2,1,1,1,122,3,6,1,22420,26,49,112.1,2,5,5,8,1,5,41,2,0,2,4,2047,16.95,53700,79.96,321,517
7/9/05,7,2,1,1,1,70,2,3,0,,28,11,9507.02,2,5,3,8,2,5,23,0,9,2,1,3563,89.11,45600,80.42,693,1340
7/9/05,7,2,1,3,1,220,3,6,1,40140,6,65,420.14,1,3,5,6,1,2,29,9,0,2,4,10563,50.01,63200,162.16,2468,2892
7/9/05,7,1,1,1,1,354,3,6,1,47664,26,125,1224,2,2,5,5,1,2,109,1,0,2,4,6808,5.98,79600,97.27,2379,2594
7/9/05,7,1,1,1,1,464,3,1,1,42644,53,33,205,2,2,5,5,1,2,162,6,0,2,1,6119,35.14,96000,92.63,1646,2022
7/9/05,9,4,1,1,1,174,3,6,1,39340,49,49,104.07,2,2,5,5,1,2,51,2,0,2,4,2447,8.58,69200,114.92,589,697
7/9/05,7,1,1,1,2,300,3,5,,30860,49,5,7.01,2,2,5,5,1,2,130,0,0,2,1,4683,9.42,60200,137.28,1150,1396
7/9/05,7,2,1,1,1,199,2,3,0,49340,9,15,9061,2,5,5,8,1,5,74,0,0,2,1,5097,2.12,84000,118.85,1689,1974
7/9/05,9,1,1,1,1,384,3,6,1,19740,8,59,120.51,2,2,5,5,1,2,140,1,0,2,4,3584,7.59,83900,131.18,1257,1289
7/9/05,9,3,1,1,2,172,3,1,1,,37,31,9708.04,3,3,6,6,3,3,149,0,0,2,1,3151,6.7,48700,157.44,1025,1711
7/9/05,7,3,1,1,1,215,3,4,,23420,6,19,31.04,2,5,5,8,1,5,51,0,0,2,1,4174,56.92,50000,89.44,646,935
7/9/05,5,2,1,1,1,148,3,1,1,,39,43,416,3,3,6,6,3,3,105,2,0,2,1,5720,10.82,57600,140.56,1793,2206
7/9/05,9,1,1,1,1,259,3,6,1,33874,42,91,2025,2,2,2,2,1,2,124,0,0,2,4,5482,73.82,102600,102.19,873,1098
7/9/05,7,1,1,3,1,276,3,2,0,23104,48,439,1065.09,2,5,2,8,1,5,108,0,0,2,1,4940,60.63,70900,107.76,923,1252
7/9/05,1,1,1,3,1,186,3,6,1,12420,48,21,9503,2,2,5,5,1,2,80,1,0,2,4,14320,39.6,81400,97.93,3631,5124
7/9/05,7,2,1,1,1,124,3,1,1,45300,12,103,251.09,2,2,5,5,2,1,68,2,0,2,1,3610,10.44,59800,81.9,947,1450
7/9/05,3,1,1,3,2,90,3,1,1,30460,21,67,22,4,5,7,8,4,5,,0,0,2,1,1735,27.78,66600,104.7,373,620
7/9/05,7,1,1,1,1,1000,1,7,0,,,,,3,3,6,6,3,3,350,0,3,2,1,,,,,,
7/9/05,7,4,1,1,1,167,2,1,1,14260,16,1,104.01,2,2,5,5,1,2,61,2,0,2,1,22147,9.51,64000,107.77,5345,6876
7/9/05,7,3,1,3,1,190,3,6,1,26420,48,39,6619,2,5,3,8,1,5,,2,0,2,4,13884,67.01,72500,100.93,1856,2553
7/9/05,9,1,1,3,1,295,3,3,0,17460,39,35,1301.03,2,5,5,8,1,5,51,0,1,2,1,4468,4.43,67900,176.61,1596,1689
7/9/05,7,1,1,3,1,424,3,3,0,41884,6,75,612,2,5,5,8,1,5,184,0,4,2,1,4296,89.97,113100,54.14,465,971
7/9/05,5,1,1,3,1,115,3,1,1,26620,1,89,26,2,5,5,8,2,5,40,1,0,2,1,4068,16.86,78200,95.81,953,1461
7/9/05,5,1,1,1,1,133,1,1,1,19780,19,153,104.09,3,3,2,2,1,2,87,0,0,2,1,4280,5.89,82200,117,1549,1575
7/9/05,7,1,1,1,1,112,1,1,1,45300,12,103,273.15,2,5,5,8,1,5,53,0,0,2,1,5515,13.67,59800,93.08,1852,2348
7/9/05,9,1,1,3,1,202,3,5,,45104,53,53,721.07,2,2,5,5,1,2,176,0,0,2,2,4180,32.15,74500,113.94,1381,1782
7/9/05,7,1,1,1,1,333,3,1,1,31084,6,37,2626.04,2,5,5,8,2,5,77,3,0,2,1,6531,17.44,64300,306.05,2034,2278
7/9/05,7,1,1,3,2,135,3,3,0,40140,6,65,9414,2,5,5,8,1,5,300,0,0,2,1,3678,47.93,63200,57.62,637,1545
7/9/05,9,1,1,3,2,83,3,1,1,39140,4,25,6.05,2,2,5,5,1,2,62,3,0,2,1,9691,30.01,54800,90.92,2065,3576
7/9/05,1,1,1,1,1,46,1,7,0,,,,,2,5,5,8,2,5,30,0,1,2,1,,,,,,
7/9/05,9,1,1,1,1,636,3,6,1,43524,24,31,7001.01,2,5,2,8,2,5,205,9,0,2,4,4461,22.8,114200,154.78,1263,1439
7/9/05,9,3,1,1,1,466,3,1,1,27260,12,31,140.01,2,5,5,8,1,5,112,0,0,2,1,4131,8.04,64300,218.73,1077,2310
7/9/05,7,3,1,3,2,202,3,1,1,45300,12,57,69,2,2,5,3,1,2,123,2,0,2,1,5620,26.83,59800,109.98,1358,2254
7/9/05,7,1,2,1,1,75,3,3,0,26140,12,17,4507.01,3,5,6,8,2,5,16,0,0,2,1,6808,15.56,45000,117.52,2897,3772
7/9/05,7,1,2,1,1,179,3,1,1,17020,6,7,17.03,2,5,5,8,1,5,46,7,0,2,1,2954,10.39,62600,82.48,826,1368
7/9/05,7,4,1,1,1,116,2,1,1,31340,51,9,104.01,2,5,5,8,1,5,45,2,0,2,1,3697,24.45,62300,81.7,1023,1458
7/9/05,9,1,1,1,1,237,2,4,,13780,36,7,144,2,2,5,5,1,2,169,0,0,2,1,4911,15.43,65700,100.67,1747,2177
7/9/05,7,1,1,3,1,270,3,4,,19780,19,153,102.03,2,2,5,5,1,2,83,0,0,2,1,23592,7.21,82200,142.26,7202,7840
7/9/05,7,1,1,3,1,233,3,1,1,11244,6,59,117.16,1,1,5,5,1,2,114,7,0,2,1,5539,67.5,88000,131.4,1446,1479
7/9/05,9,3,1,1,1,184,3,1,1,30460,21,67,40.01,2,5,5,8,1,5,62,2,0,2,1,5735,31.02,66600,64.61,842,2140
7/9/05,7,3,1,1,1,263,1,1,1,41620,49,35,1119.05,2,2,5,5,1,2,133,2,0,2,1,3705,25.1,75400,78.94,664,819
7/9/05,9,1,1,3,1,70,3,1,1,10420,39,153,5317.01,2,2,5,5,2,1,250,0,0,2,1,3728,2.49,65700,110.62,1281,1640
7/9/05,9,2,1,1,1,171,3,6,1,33874,42,17,1003.07,2,5,5,8,1,5,47,2,0,2,4,5013,27.59,102600,62.41,1188,1481
7/9/05,7,1,1,3,1,97,3,3,0,20740,55,17,107,2,5,5,8,1,5,12,0,0,2,1,7466,0.72,67400,121.38,2316,3133
7/9/05,7,1,1,3,1,419,3,2,0,47894,51,153,9012.25,3,5,6,8,3,5,120,0,0,2,1,4633,57.18,107600,94.18,1135,1530
7/9/05,7,3,1,3,1,260,3,1,1,,8,91,9676,2,2,6,6,1,2,69,7,0,2,1,4580,7.07,63800,123.96,1419,2934
7/9/05,7,2,1,1,1,358,2,3,0,19740,8,1,85.38,2,2,3,3,2,2,84,0,0,2,1,6252,28.31,83900,123.52,1817,1936
7/9/05,7,3,1,1,1,196,2,1,1,45300,12,57,137.03,2,5,3,8,1,5,72,2,0,2,1,5711,69.78,59800,98.19,1063,1524
7/9/05,7,1,1,1,1,181,3,1,1,29820,32,3,32.28,2,5,5,8,1,5,44,6,0,2,1,4523,43.38,61900,98.03,853,1867
7/9/05,9,1,1,3,1,51,3,4,,,18,85,9617,3,3,5,5,1,2,35,0,0,2,1,4353,20.63,57300,128,1331,1865
7/9/05,5,1,1,1,1,146,2,3,0,,33,9,9610,2,2,5,5,2,2,67,0,0,2,1,6825,11.21,73000,112.61,1147,1855
7/9/05,3,1,1,3,1,95,3,1,1,17140,39,61,204.04,2,5,5,8,1,5,63,3,0,2,1,5203,3.44,73600,151.88,1761,1706
7/9/05,7,2,1,1,1,265,3,3,0,40900,6,67,81.13,2,5,5,8,2,5,59,0,3,2,1,3616,21.1,75200,76.03,822,1044
7/9/05,9,3,1,1,1,326,3,1,1,41700,48,29,1720.06,2,5,5,8,1,5,94,0,0,2,1,7751,56.84,64300,163.49,2331,2763
7/9/05,7,2,1,1,1,390,3,1,1,36084,6,1,4084,2,2,5,6,2,1,105,2,0,2,1,3517,94.31,97400,32.82,423,1053
7/9/05,9,1,1,3,1,437,3,6,1,36084,6,13,3553.06,2,5,5,8,2,5,88,1,0,2,4,5059,18.56,97400,154.36,1651,1894
7/9/05,3,1,1,1,2,82,3,1,1,44940,45,85,9.02,2,2,5,5,1,2,108,0,0,2,1,4776,14.32,46700,147.25,1678,1992
7/9/05,3,1,1,1,1,700,2,1,1,,23,21,9609,2,5,5,8,1,5,206,0,0,2,1,1183,7.27,55900,71.64,430,1204
7/9/05,7,1,1,1,1,328,3,6,1,16974,17,43,8450,4,4,7,7,4,4,,1,0,2,4,5219,17.55,77500,100.12,1228,1880
7/9/05,7,1,1,3,1,180,3,1,1,39140,4,25,16.01,2,2,5,5,2,1,48,3,0,2,1,5863,42.08,54800,71.04,1667,2583
7/9/05,7,1,1,3,1,252,3,4,,41700,48,29,1817.03,2,2,5,5,1,2,125,0,0,2,1,7362,54.07,64300,138.6,1752,2150
7/9/05,9,2,1,1,1,345,3,6,1,38900,41,51,89.01,4,4,7,7,4,4,,2,0,2,4,9414,34.62,74700,100.59,2305,3010
7/9/05,9,1,1,1,1,155,3,1,1,,9,5,3621.02,2,5,5,8,2,5,180,0,0,2,1,5537,8.13,91700,124.81,1858,2152
7/9/05,3,1,1,3,1,300,3,1,1,25860,37,35,111.01,2,5,5,8,2,5,188,3,0,2,1,3529,37.74,52000,116.78,942,1467
7/9/05,9,1,1,3,1,138,3,3,0,,48,347,9504,2,2,5,5,1,2,108,0,1,2,1,7819,23.3,54200,133.52,2444,3278
7/9/05,7,3,1,3,1,82,3,4,,29820,32,3,27.07,2,5,5,8,2,5,34,0,0,2,1,3540,64.24,61900,83,659,1243
7/9/05,7,1,1,1,1,56,2,1,1,40900,6,67,16,2,3,5,6,1,2,243,6,0,2,2,6016,21.79,75200,154.78,1816,2511
7/9/05,3,1,2,3,1,27,3,2,0,45460,18,153,504,2,2,5,5,1,2,32,0,0,2,1,2134,1.59,53400,109.57,819,1091
7/9/05,9,1,1,3,1,383,3,5,,16860,47,65,104.35,2,2,5,5,1,2,195,0,0,2,1,5981,11.8,59500,107.7,1581,2450
7/9/05,9,3,1,3,1,273,3,5,,22220,5,143,105.08,2,5,5,8,1,5,51,0,0,2,1,6641,17.83,64400,116.6,1721,2725
7/9/05,7,1,1,1,1,373,3,4,,47894,11,1,84.02,2,5,5,8,2,5,115,0,0,2,1,2133,51.34,107600,127.03,505,729
7/9/05,7,1,1,1,1,300,3,1,1,35084,34,13,134,2,5,2,8,1,5,100,1,0,2,1,3725,21.02,99800,127.71,1274,1433
7/9/05,7,2,1,1,1,49,3,3,0,,20,165,9721,1,5,5,8,2,5,16,0,3,2,1,1161,3.36,60300,110.48,471,702
7/9/05,7,1,1,3,2,134,3,1,1,,53,9,21,2,2,1,5,1,2,113,1,0,2,1,3598,28.93,62100,79.34,777,1205
7/9/05,5,1,1,1,1,7,3,1,1,39340,49,49,101.09,2,2,5,5,1,2,44,0,0,2,2,8362,13.47,69200,109.03,1486,1695
7/9/05,9,1,1,3,1,33,3,1,1,,46,13,9513,2,5,5,8,1,5,24,0,0,2,1,5819,5.81,64700,124.55,1720,2083
7/9/05,7,1,2,1,1,61,3,3,0,29180,22,45,303.01,2,5,5,8,2,5,37,0,0,2,1,4194,29.69,61600,95.18,1003,1328
7/9/05,9,1,1,1,1,228,2,1,1,45940,34,21,33.01,2,5,5,8,2,5,89,0,0,2,1,7152,16.78,95400,120.92,2476,2562
7/9/05,3,1,1,1,1,109,3,1,1,48700,42,81,107,2,5,5,8,2,5,46,9,0,2,1,6081,2.57,60500,105.91,1904,2331
7/9/05,9,1,1,3,2,70,3,1,1,15380,36,29,145.02,2,2,5,5,1,2,161,1,0,2,1,2369,7.43,68200,76.23,445,1176
7/9/05,9,1,1,3,1,424,3,2,0,35380,22,103,402.02,2,2,5,5,1,2,103,0,0,2,1,6352,6.79,63300,117.53,2148,2780
7/9/05,7,1,1,3,1,137,3,3,0,46060,4,19,46.36,2,5,5,8,2,5,21,0,0,2,1,7213,23.33,59300,166.64,2299,2710
7/9/05,9,1,1,3,1,339,3,3,0,13460,41,17,20,2,2,5,5,1,2,88,0,7,2,1,7578,11.3,64000,110.5,1924,3015
7/9/05,7,2,1,3,1,181,3,1,1,39380,8,101,29.18,3,5,6,8,1,5,,2,0,2,1,6244,23,50500,136.01,2114,2441
7/9/05,7,2,1,1,1,187,3,5,,,18,,,3,3,6,6,3,3,82,0,0,2,1,,,,,,
7/9/05,9,1,1,1,2,130,3,3,0,40140,6,71,20.19,2,5,5,8,2,5,252,0,4,2,1,4845,63.67,63200,129.5,887,966
7/9/05,7,1,1,3,1,327,3,5,,14020,18,105,15.01,2,2,5,5,1,2,180,0,0,2,1,5452,2.29,61400,143.9,1843,2193
7/9/05,9,1,1,1,1,92,3,6,1,,31,1,9656,4,4,7,7,4,4,,1,0,2,4,5596,10.67,62600,112.11,1600,2062
7/9/05,7,1,1,1,1,385,3,1,1,31084,6,37,5422,1,1,5,5,1,1,81,7,0,2,1,7068,99.43,64300,69.06,969,1543
7/9/05,7,1,1,1,1,236,3,3,0,19740,8,31,50.01,2,5,5,8,2,5,58,0,0,2,1,2913,36.73,83900,69.59,832,1074
7/9/05,7,1,1,1,1,286,2,1,1,34580,53,57,9526,3,5,6,8,3,5,61,3,0,2,1,3700,16.78,66300,122.23,1214,1526
7/9/05,7,2,2,1,1,87,2,1,1,43900,45,83,234.05,2,5,5,8,1,5,24,2,0,2,1,4753,11.32,53100,142.9,1405,1905
7/9/05,3,1,1,3,1,626,3,4,,12420,48,453,16.04,2,2,5,5,1,2,287,0,0,2,1,4181,11.74,81400,251.23,1455,1766
7/9/05,7,1,1,3,1,308,3,1,1,36084,6,1,4104,2,5,5,8,1,5,144,1,0,2,1,4344,93.6,97400,69.61,903,1316
7/9/05,7,2,1,1,1,129,3,1,1,19660,12,127,910.2,2,5,5,8,2,5,31,2,0,2,1,5999,37.61,54800,104.63,1470,2392
7/9/05,9,1,1,3,1,141,3,4,,45300,12,57,121.04,2,2,5,5,1,2,82,0,0,2,1,8096,55.18,59800,55.56,1243,2237
7/9/05,9,1,1,1,1,469,3,6,1,47894,51,153,9014.1,3,5,6,8,3,5,104,9,0,2,4,8306,41.58,107600,128.14,1832,2145
7/9/05,7,1,1,1,1,178,3,1,1,12940,22,5,302.05,2,5,5,8,2,5,33,1,0,2,1,10738,26.64,68100,134.93,2829,3554
7/9/05,9,1,1,3,1,288,3,3,0,,49,21,1107.01,2,5,5,8,1,5,29,0,1,2,1,6307,7.9,67700,110.19,1353,1865
7/9/05,9,3,1,3,1,82,3,6,1,,39,119,9124,4,4,7,7,4,4,,2,0,2,4,4089,5.84,57600,88.51,1333,1730
7/9/05,3,1,2,1,1,125,3,4,,29200,18,157,110,2,2,5,6,2,1,64,0,0,2,1,4246,4.07,63100,109.2,1215,1739
7/9/05,9,1,1,3,1,677,3,1,1,42644,53,33,321.04,2,2,5,5,1,2,280,0,0,2,1,5985,20.07,96000,125.78,1605,1469
7/9/05,7,2,1,1,1,243,3,1,1,38060,4,21,2.06,2,2,5,5,1,2,85,2,0,2,1,4428,22.92,66200,97.31,960,1627
7/9/05,7,1,2,1,1,117,1,2,0,,5,,,3,3,5,5,1,2,73,0,0,2,1,,,,,,
7/9/05,7,1,1,3,2,94,3,1,1,23420,6,19,7,1,5,5,8,1,5,68,3,0,2,1,3902,96.28,50000,59.75,516,1196
7/9/05,7,1,1,1,1,234,3,6,1,37964,42,101,359,4,4,7,7,4,4,,3,0,2,4,5150,18.39,57400,136.7,1396,1636
7/9/05,9,1,1,3,1,30,3,1,1,17460,39,35,1245,2,2,5,5,1,2,41,0,0,2,2,3798,27.2,67900,79.45,1100,1615
7/9/05,3,1,1,1,1,676,3,1,1,19124,48,397,405.06,3,5,5,8,2,5,766,0,0,2,1,7168,8.52,73400,219.98,2322,2629
7/9/05,9,1,1,3,1,240,3,1,1,19740,8,5,65.01,2,5,5,8,1,5,95,3,0,2,1,2144,24.67,83900,44.85,95,175
7/9/05,3,1,1,1,1,195,3,1,1,43620,46,83,101.07,2,2,5,5,1,2,83,9,0,2,1,5546,5.95,76800,104.83,1497,1625
7/9/05,5,1,1,1,1,424,1,8,0,,,,,2,2,2,2,2,1,96,0,0,2,1,,,,,,
7/9/05,9,1,1,1,1,305,1,7,0,,,,,2,2,3,3,2,1,87,0,1,2,1,,,,,,
7/9/05,9,1,1,3,1,159,3,1,1,45940,34,21,37.05,3,3,6,6,3,3,155,8,0,2,1,6290,33,95400,97.17,1538,1737
7/9/05,7,4,1,1,1,263,2,1,1,42644,53,61,535.05,2,5,5,8,1,5,68,2,0,2,1,5226,13.53,96000,98.18,1660,2041
7/9/05,9,2,1,1,1,177,3,6,1,,51,171,403,4,4,7,7,4,4,,2,0,2,4,4228,4.8,53300,110.83,1389,1727
7/9/05,7,2,1,3,1,225,3,1,1,11244,6,59,320.53,1,2,5,3,1,2,38,7,0,2,1,8317,29.79,88000,131.96,2148,2387
7/9/05,9,1,1,1,1,33,2,1,1,26900,18,11,8102,2,2,5,5,1,2,41,0,0,2,1,3842,4.37,68400,100.94,1116,1510
7/9/05,7,3,1,1,1,166,3,4,,,29,55,4502,2,2,5,5,1,2,42,0,0,2,1,4589,4.42,50800,83.67,1340,2313
7/9/05,7,1,1,1,1,413,3,1,1,39580,37,183,534.12,2,5,2,8,1,5,128,1,0,2,1,6802,26.4,80200,169.74,1636,1808
7/9/05,9,1,1,1,2,66,3,1,1,47020,48,469,6.02,3,3,6,6,3,3,33,0,0,2,1,4326,61.79,63800,59.12,551,1104
7/9/05,3,2,1,3,1,162,3,6,1,39660,46,93,203.02,4,5,7,8,4,5,49,7,0,2,4,5655,8.08,66000,111.01,2146,2391
7/9/05,7,1,1,1,1,166,3,1,1,18140,39,89,7577,2,5,5,8,2,5,56,6,0,2,1,7577,9.77,73900,146.12,1573,2131
7/9/05,9,1,1,3,1,87,3,6,1,11500,1,15,25.01,4,4,7,7,4,4,45,3,0,2,4,7374,5.52,53000,118.15,2315,2890
7/9/05,5,1,1,1,2,118,3,1,1,36260,49,57,2101,2,2,5,4,2,1,201,0,0,2,1,7164,5.08,75000,114.9,2197,3924
7/9/05,9,1,1,3,1,125,3,1,1,11244,6,59,755.04,3,3,6,6,1,2,102,1,0,2,1,4330,42.24,88000,97.76,932,1111
7/9/05,7,3,1,1,1,486,2,1,1,38300,42,3,4220,2,5,5,8,1,5,215,2,0,2,1,5413,10.36,72200,243.58,1843,2048
7/9/05,7,1,1,1,1,385,3,6,1,36420,40,109,1085.2,4,4,7,7,4,4,,3,0,2,4,2069,15.95,66600,244.16,690,835
7/9/05,9,1,1,1,1,91,2,1,1,25860,37,35,104.01,2,5,5,8,2,5,48,1,0,2,1,6620,27.19,52000,95.4,1386,2308
7/9/05,7,2,1,1,1,245,3,6,1,18140,39,41,117.3,4,4,7,7,4,4,,2,0,2,4,6741,17.19,73900,153.84,2184,2299
7/9/05,9,1,1,1,1,450,3,6,1,41740,6,73,178.11,4,4,7,7,4,4,,1,0,2,4,7604,26.71,79300,150.68,1594,2393
7/9/05,7,1,1,1,1,176,3,3,0,38060,4,13,1167.12,2,2,5,5,2,1,143,0,9,2,1,6301,39.06,66200,132.97,1289,2106
7/9/05,7,2,1,1,1,149,2,1,1,19300,1,3,109.05,2,2,5,5,1,2,53,2,0,2,1,7814,17.99,61500,89.75,2067,2980
7/9/05,9,1,1,1,1,179,3,6,1,15804,34,15,5006,2,2,5,5,1,2,134,3,0,2,4,10193,18.84,91500,140.2,3004,3506
7/9/05,9,1,1,3,1,160,3,6,1,16974,17,31,8113.01,2,2,5,5,2,2,60,1,0,2,4,5057,71.5,77500,89.47,1111,1313
7/9/05,7,3,2,1,1,197,3,3,0,,16,17,9507,2,2,5,5,1,2,38,0,4,2,1,4661,5.86,55200,95.24,1478,2141
7/9/05,7,2,1,3,1,199,3,4,,41180,29,99,7014.04,2,2,5,5,2,1,87,0,0,2,1,6339,3.86,74300,79.48,1787,2245
7/9/05,9,1,1,1,1,336,3,6,1,22744,12,11,105.02,2,2,5,5,1,2,146,3,0,2,4,3353,30.45,64100,133.2,632,878
7/9/05,3,2,1,1,1,226,3,1,1,33460,27,53,268.12,2,5,3,8,2,5,52,9,0,2,1,6032,46.07,89800,97.72,1818,2014
7/9/05,7,1,1,3,1,327,3,1,1,16974,17,43,8465.23,2,5,5,8,1,5,168,1,0,2,1,2762,8.94,77500,172.78,848,942
7/9/05,3,1,1,1,1,424,3,1,1,34980,47,37,178,2,2,5,5,1,2,175,3,0,2,1,5366,8.22,67500,156.44,1700,2023
7/9/05,7,1,2,1,2,156,1,2,0,,8,29,9650,3,5,6,8,3,5,30,0,0,2,1,4692,14.79,63800,105.51,1444,2302
